oblast,border
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q649
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2347
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q2842
http://www.wikidata.org/entity/Q1697,http://www.wikidata.org/entity/Q42072
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q5338
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q5481
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q5634
http://www.wikidata.org/entity/Q1727,http://www.wikidata.org/entity/Q1140829
http://www.wikidata.org/entity/Q1759,http://www.wikidata.org/entity/Q1875
http://www.wikidata.org/entity/Q1759,http://www.wikidata.org/entity/Q1914
http://www.wikidata.org/entity/Q1759,http://www.wikidata.org/entity/Q5700
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q1759
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q1914
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q2073
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q2164
http://www.wikidata.org/entity/Q1875,http://www.wikidata.org/entity/Q5387
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q1875
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q1914
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q2191
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q2240
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q2015,http://www.wikidata.org/entity/Q5387
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q656
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q1914
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q2218
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q2240
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q5691
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q5698
http://www.wikidata.org/entity/Q2191,http://www.wikidata.org/entity/Q189963
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q2191
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q2240
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q2347
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q185700
http://www.wikidata.org/entity/Q2218,http://www.wikidata.org/entity/Q3393445
http://www.wikidata.org/entity/Q2240,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q2240,http://www.wikidata.org/entity/Q2191
http://www.wikidata.org/entity/Q2240,http://www.wikidata.org/entity/Q2218
http://www.wikidata.org/entity/Q2240,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q891
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q2654
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q5340
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q5387
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q5446
http://www.wikidata.org/entity/Q2246,http://www.wikidata.org/entity/Q5466
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q2218
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q2240
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q2347
http://www.wikidata.org/entity/Q2292,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q2218
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q2810
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q2842
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q185700
http://www.wikidata.org/entity/Q2347,http://www.wikidata.org/entity/Q189822
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q2292
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q2654
http://www.wikidata.org/entity/Q2448,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2596,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q2596,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2596,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2596,http://www.wikidata.org/entity/Q2654
http://www.wikidata.org/entity/Q2596,http://www.wikidata.org/entity/Q5387
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2654
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q5340
