0,1
Moscow Oblast,Moscow
Leningrad Oblast,Saint Petersburg
Tver Oblast,Moscow Oblast
Smolensk Oblast,Moscow Oblast
Yaroslavl Oblast,Moscow Oblast
Vladimir Oblast,Moscow Oblast
Ryazan Oblast,Moscow Oblast
Arkhangelsk Oblast,Murmansk Oblast
Murmansk Oblast,Arkhangelsk Oblast
Vologda Oblast,Arkhangelsk Oblast
Murmansk Oblast,Republic of Karelia
Arkhangelsk Oblast,Republic of Karelia
Vologda Oblast,Republic of Karelia
Leningrad Oblast,Republic of Karelia
Arkhangelsk Oblast,Vologda Oblast
Leningrad Oblast,Vologda Oblast
Novgorod Oblast,Vologda Oblast
Tver Oblast,Vologda Oblast
Yaroslavl Oblast,Vologda Oblast
Kostroma Oblast,Vologda Oblast
Arkhangelsk Oblast,Komi Republic
Vologda Oblast,Leningrad Oblast
Pskov Oblast,Leningrad Oblast
Novgorod Oblast,Leningrad Oblast
Leningrad Oblast,Pskov Oblast
Novgorod Oblast,Pskov Oblast
Tver Oblast,Pskov Oblast
Smolensk Oblast,Pskov Oblast
Vologda Oblast,Novgorod Oblast
Leningrad Oblast,Novgorod Oblast
Pskov Oblast,Novgorod Oblast
Tver Oblast,Novgorod Oblast
Kostroma Oblast,Nizhny Novgorod Oblast
Ivanovo Oblast,Nizhny Novgorod Oblast
Vladimir Oblast,Nizhny Novgorod Oblast
Ryazan Oblast,Nizhny Novgorod Oblast
Moscow Oblast,Tver Oblast
Vologda Oblast,Tver Oblast
Pskov Oblast,Tver Oblast
Novgorod Oblast,Tver Oblast
Smolensk Oblast,Tver Oblast
Yaroslavl Oblast,Tver Oblast
Moscow Oblast,Smolensk Oblast
Pskov Oblast,Smolensk Oblast
Tver Oblast,Smolensk Oblast
Moscow Oblast,Yaroslavl Oblast
Vologda Oblast,Yaroslavl Oblast
Tver Oblast,Yaroslavl Oblast
Kostroma Oblast,Yaroslavl Oblast
Ivanovo Oblast,Yaroslavl Oblast
Vladimir Oblast,Yaroslavl Oblast
Vologda Oblast,Kostroma Oblast
Nizhny Novgorod Oblast,Kostroma Oblast
Yaroslavl Oblast,Kostroma Oblast
Ivanovo Oblast,Kostroma Oblast
Nizhny Novgorod Oblast,Ivanovo Oblast
Yaroslavl Oblast,Ivanovo Oblast
Kostroma Oblast,Ivanovo Oblast
Vladimir Oblast,Ivanovo Oblast
Moscow Oblast,Vladimir Oblast
Nizhny Novgorod Oblast,Vladimir Oblast
Yaroslavl Oblast,Vladimir Oblast
Ivanovo Oblast,Vladimir Oblast
Ryazan Oblast,Vladimir Oblast
Moscow Oblast,Ryazan Oblast
Nizhny Novgorod Oblast,Ryazan Oblast
Vladimir Oblast,Ryazan Oblast
Moscow Oblast,Tula Oblast
Ryazan Oblast,Tula Oblast
Smolensk Oblast,Bryansk Oblast
Moscow Oblast,Kaluga Oblast
Smolensk Oblast,Kaluga Oblast
Samara Oblast,Voronezh Oblast
Ryazan Oblast,Lipetsk Oblast
Ryazan Oblast,Tambov Oblast
Samara Oblast,Saratov Oblast
Samara Oblast,Orenburg Oblast
Nizhny Novgorod Oblast,Republic of Mordovia
Ryazan Oblast,Republic of Mordovia
Arkhangelsk Oblast,Kirov Oblast
Vologda Oblast,Kirov Oblast
Nizhny Novgorod Oblast,Kirov Oblast
Kostroma Oblast,Kirov Oblast
Nizhny Novgorod Oblast,Mari El Republic
Nizhny Novgorod Oblast,Chuvash Republic
Samara Oblast,Republic of Tatarstan
Ryazan Oblast,Penza Oblast
Samara Oblast,Ulyanovsk Oblast
Altai Republic,Tuva Republic
Republic of Khakassia,Tuva Republic
Republic of Tatarstan,Samara Oblast
Republic of Karelia,Murmansk Oblast
Republic of Karelia,Arkhangelsk Oblast
Komi Republic,Arkhangelsk Oblast
Republic of Karelia,Vologda Oblast
Republic of Karelia,Leningrad Oblast
Republic of Mordovia,Nizhny Novgorod Oblast
Mari El Republic,Nizhny Novgorod Oblast
